sample_id,site,genus,species,colony_tag,colony_depth_m,date_sampled,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Orb.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Orb.CT.sd,A.Orb,B.Orb,C.Orb,D.Orb
MR010,mermaid_reef,orbicella,faveolata,327,1.7,2019-01-24,NaN,NaN,NaN,21.1705,30.956000000000003,NA,NA,NA,0.2976919548795361,0.20788939366884532,0,0,0,710.6548195613665
MR011,mermaid_reef,orbicella,faveolata,303,2.1,2019-01-24,NaN,NaN,NaN,20.792,30.4735,NA,NA,NA,0.16829141392240052,0.44477016536633934,0,0,0,661.2285336058703
MR012,mermaid_reef,orbicella,faveolata,317,2.2,2019-01-24,NaN,NaN,NaN,21.8585,29.8845,NA,NA,NA,0.6215468606629737,1.2027886347983177,0,0,0,209.89226218878846
MR013,mermaid_reef,orbicella,faveolata,329,1.8,2019-01-24,NaN,NaN,NaN,20.5225,29.378,NA,NA,NA,1.1532911601152591,0.6462955980045055,0,0,0,372.99311019535264
MR014,mermaid_reef,orbicella,faveolata,310,1.9,2019-01-24,NaN,NaN,NaN,19.752,29.9045,NA,NA,NA,0.5953839097590722,0.5409366876077093,0,0,0,916.5089579638801
MR015,mermaid_reef,orbicella,faveolata,302,2.3,2019-01-24,NaN,NaN,NaN,27.0475,33.5035,NA,NA,NA,0.060104076400857145,0.1124299782086603,0,0,0,70.69347578625835
MR016,mermaid_reef,orbicella,faveolata,314,1.8,2019-01-24,NaN,NaN,NaN,21.006999999999998,29.545,NA,NA,NA,0.1612203461105314,0.27577164466275145,0,0,0,299.3117637569502
MR017,mermaid_reef,orbicella,faveolata,340,2.3,2019-01-24,NaN,NaN,NaN,21.701,26,NA,NA,NA,0.13859292911256188,NA,0,0,0,15.851035349512074
MR018,mermaid_reef,orbicella,faveolata,322,1.9,2019-01-24,NaN,NaN,NaN,20.6755,26,NA,NA,NA,0.15485638507985475,0,0,0,0,32.267394222878515
MR019,mermaid_reef,orbicella,faveolata,323,1.2,2019-01-24,NaN,NaN,NaN,21.942,26,NA,NA,NA,0.8174154390516482,0,0,0,0,13.41248982600472
MR020,mermaid_reef,orbicella,faveolata,326,1.5,2019-01-24,NaN,NaN,NaN,25.677999999999997,34.320499999999996,NA,NA,NA,0.039597979746447326,0.382544768621925,0,0,0,321.7965773950853
SC001,sandy_cay,orbicella,faveolata,411,5.6,2019-01-21,NaN,NaN,21.174,NaN,17.851,NA,NA,0.10606601717798364,NA,0.5939696961966998,0,0,0.012069749775616968,0
SC002,sandy_cay,orbicella,faveolata,434,3.8,2019-01-21,NaN,25.179000000000002,NaN,NaN,15.809000000000001,NA,1.1370277041479688,NA,NA,0.5883128419472081,0,0.003650899503331185,0,0
SC003,sandy_cay,orbicella,faveolata,433,5.4,2019-01-21,NaN,NaN,21.063499999999998,NaN,16.222,NA,NA,0.2566797615707164,NA,0.3408254685319154,0,0,0.004212929757729049,0
SC004,sandy_cay,orbicella,faveolata,439,4.6,2019-01-21,NaN,26.759500000000003,NaN,NaN,28.604999999999997,NA,0.02050609665440982,NA,NA,0.03535533905932788,0,8.681640435579439,0,0
SC005,sandy_cay,orbicella,faveolata,435,2.7,2019-01-21,NaN,NaN,28.493000000000002,21.9565,30.146500000000003,NA,NA,0.04242640687119446,0.1803122292025689,0.4518412331782034,0,0,0.37999163824147053,235.16102669913548
SC008,sandy_cay,orbicella,faveolata,402,6,2019-01-21,NaN,NaN,NaN,25.3155,15.0095,NA,NA,NA,0.2184959953866414,0.32880465325174574,0,0,0,6.360841117735458e-4
SC009,sandy_cay,orbicella,faveolata,425,5.2,2019-01-21,NaN,NaN,21.022999999999996,NaN,16.543,NA,NA,0.20223253941935104,NA,0.6180113267570417,0,0,0.005412607831917072,0
SC010,sandy_cay,orbicella,faveolata,417,6.6,2019-01-21,NaN,NaN,25.283,NaN,29.323999999999998,NA,NA,0.12727922061357835,NA,0.3917371567773463,0,0,1.9883056868909994,0
SC011,sandy_cay,orbicella,faveolata,401,3.9,2019-01-21,27.3985,NaN,31.8915,NaN,34.826,0.0473761543394988,NA,0.8746910883277605,NA,1.4891668811788652,415.86390819481113,0,0.9234076421592947,0
SC013,sandy_cay,orbicella,faveolata,419,4.2,2019-01-21,28.1435,NaN,NaN,NaN,29.277,0.3273904396893722,NA,NA,NA,0.5402295808265218,5.299909307034057,0,0,0
SC021,sandy_cay,orbicella,faveolata,412,4.1,2019-01-21,30.852000000000004,30.613500000000002,34.37,NaN,16.564,0.8499423509862314,0.8860047968267466,0.2050609665440982,NA,0.30405591591021525,1.2076312973541952e-4,1.4247216168874607e-4,5.27085221296989e-7,0
SC022,sandy_cay,orbicella,faveolata,413,4,2019-01-21,NaN,NaN,28.3555,22.436,17.911,NA,NA,0.03323401871576816,0.7028641404994281,0.42992092296142126,0,0,8.667885234276042e-5,0.034975904363601276
SC023,sandy_cay,orbicella,faveolata,403,6,2019-01-21,28.1755,33.647499999999994,24.1295,28.36,18.6575,0.252437120883597,0.9878281733176058,0.05020458146424594,0.960251008851332,0.1407142494561241,0.0032949394576486197,7.423544271401654e-5,0.0027213525364659045,9.664650429375453e-4
SC024,sandy_cay,orbicella,faveolata,416,7.6,2019-01-21,NaN,NaN,21.4585,NaN,15.721499999999999,NA,NA,0.3118340905032667,NA,0.08555992052357131,0,0,0.0022647061375509225,0
SC025,sandy_cay,orbicella,faveolata,421,7.1,2019-01-21,27.3465,NaN,22.448999999999998,NaN,14.911,0.04313351365237936,NA,0.6095260453828053,NA,0.009899494936611204,4.361063665085581e-4,0,6.499154104917371e-4,0
SC026,sandy_cay,orbicella,faveolata,426,4.3,2019-01-21,NaN,NaN,21.979,NaN,28.827,NA,NA,0.24183051916579837,NA,NA,0,0,13.914716182942866,0
SC027,sandy_cay,orbicella,faveolata,404,4.1,2019-01-21,27.088,28.1025,NaN,NaN,26,0.37476659402887097,0.5041671349860091,NA,NA,0,1.136397586197465,0.5625166373889109,0,0
SC028,sandy_cay,orbicella,faveolata,423,6.3,2019-01-21,NaN,NaN,22.316499999999998,NaN,16.899,NA,NA,0.5550788232314399,NA,0.3521391770309015,0,0,0.0028261222267161423,0
SC029,sandy_cay,orbicella,faveolata,440,3.8,2019-01-21,28.897,29.118499999999997,22.328000000000003,22.259,14.8065,2.650236215887181,0.25950818869546355,0.3125411972844541,0.9376235918533624,0.80256619664673,1.384802324780667e-4,1.1877078856068652e-4,6.573911146187266e-4,0.0045973084218509565
SC030,sandy_cay,orbicella,faveolata,415,3.5,2019-01-21,NaN,27.488,NaN,NaN,28.8915,NA,0.37618080759124334,NA,NA,1.615738995011261,0,6.390672128472778,0,0
