* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-03 16:59:06 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_13.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-02 17:09:06 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP	THOLDFAIL	DRNMIN	Tm1	Tm2	Tm3	Tm4
42	D6	false	MR016	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	11	Inconclusive		0.000	Y	N	N	Y	N	N				
43	D7	false	MR017	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
44	D8	false	MR018	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
45	D9	false	MR019	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
46	D10	false	MR020	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
47	D11	false	NPTC3	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
48	D12	false	NTC	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
49	E1	false	MR011	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
50	E2	false	MR012	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
51	E3	false	MR013	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
52	E4	false	MR014	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
53	E5	false	MR015	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
54	E6	false	MR016	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
55	E7	false	MR017	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
56	E8	false	MR018	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
57	E9	false	MR019	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
58	E10	false	MR020	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
59	E11	false	NPTC3	B	UNKNOWN	FAM	NFQ-MGB	34.112	34.077	0.050								true	0.080	true	3	30	Amp		0.922	N	N	N	N	N	N				
60	E12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
61	F1	false	MR011	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
62	F2	false	MR012	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
63	F3	false	MR013	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
64	F4	false	MR014	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
65	F5	false	MR015	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
66	F6	false	MR016	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
67	F7	false	MR017	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
68	F8	false	MR018	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
69	F9	false	MR019	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
70	F10	false	MR020	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
71	F11	false	NPTC3	B	UNKNOWN	FAM	NFQ-MGB	34.042	34.077	0.050								true	0.080	true	3	30	Amp		0.912	N	N	N	N	N	N				
72	F12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.080	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
73	G1	false	MR011	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
73	G1	false	MR011	D	UNKNOWN	FAM	NFQ-MGB	26.269	26.317	0.067								true	0.244	true	3	19	Amp		0.984	N	N	N	N	N	N				
74	G2	false	MR012	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
74	G2	false	MR012	D	UNKNOWN	FAM	NFQ-MGB	27.136	27.236	0.142								true	0.244	true	3	21	Amp		0.976	N	N	N	N	N	N				
75	G3	false	MR013	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
75	G3	false	MR013	D	UNKNOWN	FAM	NFQ-MGB	26.485	26.779	0.415								true	0.244	true	3	20	Amp		0.985	N	N	N	N	N	N				
76	G4	false	MR014	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
76	G4	false	MR014	D	UNKNOWN	FAM	NFQ-MGB	25.741	25.821	0.113								true	0.244	true	3	20	Amp		0.987	N	N	N	N	N	N				
77	G5	false	MR015	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
77	G5	false	MR015	D	UNKNOWN	FAM	NFQ-MGB	27.706	27.749	0.060								true	0.244	true	3	22	Amp		0.984	N	N	N	N	N	N				
78	G6	false	MR016	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
78	G6	false	MR016	D	UNKNOWN	FAM	NFQ-MGB	26.713	26.920	0.292								true	0.244	true	3	20	Amp		0.988	N	N	N	N	N	N				
79	G7	false	MR017	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
79	G7	false	MR017	D	UNKNOWN	FAM	NFQ-MGB	27.096	27.221	0.178								true	0.244	true	3	21	Amp		0.984	N	N	N	N	N	N				
80	G8	false	MR018	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
80	G8	false	MR018	D	UNKNOWN	FAM	NFQ-MGB	26.470	26.480	0.014								true	0.244	true	3	20	Amp		0.983	N	N	N	N	N	N				
81	G9	false	MR019	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
81	G9	false	MR019	D	UNKNOWN	FAM	NFQ-MGB	27.176	27.284	0.153								true	0.244	true	3	22	Amp		0.984	N	N	N	N	N	N				
82	G10	false	MR020	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
82	G10	false	MR020	D	UNKNOWN	FAM	NFQ-MGB	26.376	26.349	0.038								true	0.244	true	3	21	Amp		0.983	N	N	N	N	N	N				
83	G11	false	NPTC3	C	UNKNOWN	VIC	NFQ-MGB	30.706	30.793	0.123								true	0.040	true	3	27	Amp		0.919	N	N	N	N	Y	N				
83	G11	false	NPTC3	D	UNKNOWN	FAM	NFQ-MGB	30.009	30.124	0.162								true	0.244	true	3	24	Amp		0.968	N	N	N	N	N	N				
84	G12	false	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	Y	Y	N				
84	G12	false	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.244	true	3	39	No Amp		0.000	Y	Y	N	Y	N	N				
