* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-06-25 09:17:44 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_09.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-06-24 16:30:48 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	NOAMP	PRFDROP	THOLDFAIL	Tm1	Tm2	Tm3	Tm4
53	E5	false	SC002	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	34	No Amp		0.000	Y	N	N	N	N	Y	N	Y				
54	E6	false	SC004	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	15	No Amp		0.000	Y	N	N	N	N	Y	N	Y				
55	E7	false	SC011	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
56	E8	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	Inconclusive		0.000	Y	Y	N	N	N	Y	N	Y				
57	E9	false	NPTC1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
58	E10	false	NPTC2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
59	E11	false	NEC7	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	Inconclusive		0.000	Y	Y	N	N	N	Y	N	Y				
60	E12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	Inconclusive		0.000	Y	Y	N	N	N	Y	N	Y				
61	F1	false	MR003	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
62	F2	false	MR006	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
63	F3	false	MR004	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
64	F4	false	MR005	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
65	F5	false	SC002	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	24	Amp		0.000	Y	N	N	N	N	Y	N	Y				
66	F6	false	SC004	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	Amp		0.000	Y	Y	N	N	N	Y	N	Y				
67	F7	false	SC011	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	24	No Amp		0.000	Y	N	N	N	N	Y	N	Y				
68	F8	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
69	F9	false	NPTC1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
70	F10	false	NPTC2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
71	F11	false	NEC7	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
72	F12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.200	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
73	G1	false	MR003	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
73	G1	false	MR003	D	UNKNOWN	FAM	NFQ-MGB	26.036	26.150	0.161								true	0.115	true	3	21	Amp		0.971	N	N	N	N	N	N	N	N				
74	G2	false	MR006	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
74	G2	false	MR006	D	UNKNOWN	FAM	NFQ-MGB	26.029	25.927	0.143								true	0.115	true	3	21	Amp		0.965	N	N	N	N	N	N	N	N				
75	G3	false	MR004	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
75	G3	false	MR004	D	UNKNOWN	FAM	NFQ-MGB	25.146	25.098	0.067								true	0.115	true	3	20	Amp		0.981	N	N	N	N	N	N	N	N				
76	G4	false	MR005	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
76	G4	false	MR005	D	UNKNOWN	FAM	NFQ-MGB	25.356	25.332	0.034								true	0.115	true	3	21	Amp		0.972	N	N	N	N	N	N	N	N				
77	G5	false	SC002	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	Y				
77	G5	false	SC002	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.115	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	N				
78	G6	false	SC004	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
78	G6	false	SC004	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.115	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	N				
79	G7	false	SC011	C	UNKNOWN	VIC	NFQ-MGB	33.507	34.125	0.875								true	0.040	true	3	30	Amp		0.761	Y	N	N	N	Y	N	N	Y				
79	G7	false	SC011	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.115	true	3	39	No Amp		0.000	Y	Y	N	N	N	Y	N	N				
80	G8	false	PTC	C	UNKNOWN	VIC	NFQ-MGB	32.913	33.035	0.173								true	0.040	true	3	30	Amp		0.738	Y	N	N	N	N	N	N	Y				
80	G8	false	PTC	D	UNKNOWN	FAM	NFQ-MGB	31.569	31.624	0.078								true	0.115	true	3	27	Amp		0.961	N	N	N	N	N	N	N	N				
81	G9	false	NPTC1	C	UNKNOWN	VIC	NFQ-MGB	30.581	30.408	0.244								true	0.040	true	3	27	Amp		0.752	Y	N	N	N	N	N	N	Y				
81	G9	false	NPTC1	D	UNKNOWN	FAM	NFQ-MGB	35.251	35.117	0.189								true	0.115	true	3	31	Amp		0.941	N	N	N	N	N	N	N	N				
82	G10	false	NPTC2	C	UNKNOWN	VIC	NFQ-MGB	33.157	33.185	0.039								true	0.040	true	3	29	Amp		0.730	Y	N	N	N	N	N	N	Y				
82	G10	false	NPTC2	D	UNKNOWN	FAM	NFQ-MGB	32.461	32.205	0.362								true	0.115	true	3	29	Amp		0.959	N	N	N	N	N	N	N	N				
83	G11	false	NEC7	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y				
83	G11	false	NEC7	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.115	true	3	17	No Amp		0.000	Y	N	N	N	N	Y	N	N				
