* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-09 09:15:11 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Power Up SYBR_16.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-08 16:11:13 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	DRNMIN	NOAMP	THOLDFAIL	Tm1	Tm2	Tm3	Tm4
55	E7	false	MR027	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
56	E8	false	MR028	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	9	No Amp		0.000	Y	N	N	N	Y	N				
57	E9	false	MR029	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
58	E10	false	MR030	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
59	E11	false	ABCD+CONTROL	B	UNKNOWN	FAM	NFQ-MGB	29.094	29.259	0.234								true	0.068	true	3	25	Amp		0.963	N	N	N	N	N	N				
60	E12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
61	F1	false	MRO21	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	24	No Amp		0.000	Y	N	N	N	Y	N				
62	F2	false	MR022	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	17	No Amp		0.000	Y	N	N	N	Y	N				
63	F3	false	MR023	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
64	F4	false	MR024	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
65	F5	false	MR025	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N				
66	F6	false	MR026	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	18	No Amp		0.000	Y	N	N	N	Y	N				
67	F7	false	MR027	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.068	true	3	30	No Amp		0.000	Y	N	N	N	Y	N				
