* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-23 12:28:41 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Sandy_Mermaid\Data\qPCR\20190613_KP_01.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-06-13 15:21:36 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	NOAMP	BADROX	DRNMIN	PRFDROP	Tm1	Tm2	Tm3	Tm4
64	F4	false	MR014	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
65	F5	false	MR015	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
66	F6	false	MR016	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
67	F7	false	MR017	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
68	F8	false	MR018	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
69	F9	false	MR019	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
70	F10	false	MR020	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
71	F11	false	NEC6	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
72	F12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	10.324	10.713	0.550								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N	Y	Y				
73	G1	false	MR011	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
73	G1	false	MR011	D	UNKNOWN	FAM	NFQ-MGB	23.626	23.626									false	0.010	true	3	22	Amp		0.916	N	N	N	N	N	N	N	N	N	N				
74	G2	false	MR012	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
74	G2	false	MR012	D	UNKNOWN	FAM	NFQ-MGB	26.527	26.527									false	0.010	true	3	25	Amp		0.780	Y	N	N	N	N	N	N	N	N	N				
75	G3	false	MR013	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
75	G3	false	MR013	D	UNKNOWN	FAM	NFQ-MGB	24.438	24.438									false	0.010	true	3	23	Amp		0.670	Y	N	N	N	N	N	N	N	N	N				
76	G4	false	MR014	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
76	G4	false	MR014	D	UNKNOWN	FAM	NFQ-MGB	26.669	26.669									false	0.010	true	3	26	Amp		0.716	Y	N	N	N	N	N	N	N	N	N				
77	G5	false	MR015	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
77	G5	false	MR015	D	UNKNOWN	FAM	NFQ-MGB	29.064	29.064									false	0.010	true	3	28	Amp		0.705	Y	N	N	N	N	N	N	N	N	N				
78	G6	false	MR016	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
78	G6	false	MR016	D	UNKNOWN	FAM	NFQ-MGB	25.148	25.148									false	0.010	true	3	24	Amp		0.649	Y	N	N	N	N	N	N	N	N	N				
79	G7	false	MR017	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
79	G7	false	MR017	D	UNKNOWN	FAM	NFQ-MGB	26.851	26.851									false	0.010	true	3	26	Amp		0.731	Y	N	N	N	N	N	N	N	N	N				
80	G8	false	MR018	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
80	G8	false	MR018	D	UNKNOWN	FAM	NFQ-MGB	24.469	24.469									false	0.010	true	3	23	Amp		0.703	Y	N	N	N	N	N	N	N	N	N				
81	G9	false	MR019	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
81	G9	false	MR019	D	UNKNOWN	FAM	NFQ-MGB	25.139	25.139									false	0.010	true	3	24	Amp		0.827	N	N	N	N	N	N	N	N	N	N				
82	G10	false	MR020	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
82	G10	false	MR020	D	UNKNOWN	FAM	NFQ-MGB	37.484	37.484									false	0.010	true	3	39	No Amp		0.196	Y	Y	N	N	N	N	N	N	N	N				
83	G11	false	NEC6	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
83	G11	false	NEC6	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
84	G12	false	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	35.602									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	Y	Y				
84	G12	false	NTC	D	UNKNOWN	FAM	NFQ-MGB	11.096	21.219	14.317								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N	Y	Y				
85	H1	false	MR011	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
85	H1	false	MR011	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	23.626									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
