* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-26 14:16:51 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Sandy_Mermaid\Data\qPCR\20190726_KP_01.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-26 11:16:48 AM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP	CTFAIL	Tm1	Tm2	Tm3	Tm4
73	G1	false	SC026	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	23	No Amp		0.000	Y	N	N	Y	N				
74	G2	false	SC027	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	Y				
74	G2	false	SC027	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	15	No Amp		0.000	Y	N	N	Y	Y				
75	G3	false	MR017	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N				
75	G3	false	MR017	D	UNKNOWN	FAM	NFQ-MGB	22.799	22.701	0.138								false	0.010	true	3	22	Amp		0.412	Y	N	N	N	N				
76	G4	false	MR018	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N				
76	G4	false	MR018	D	UNKNOWN	FAM	NFQ-MGB	21.785	21.675	0.155								false	0.010	true	3	21	Amp		0.328	Y	N	N	N	N				
77	G5	false	MR019	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
77	G5	false	MR019	D	UNKNOWN	FAM	NFQ-MGB	23.520	22.942	0.818								false	0.010	true	3	22	Amp		0.547	Y	N	Y	N	N				
78	G6	false	PTC	C	UNKNOWN	VIC	NFQ-MGB	29.233	29.222	0.015								false	0.010	true	3	28	Amp		0.940	N	N	N	N	N				
78	G6	false	PTC	D	UNKNOWN	FAM	NFQ-MGB	26.654	26.495	0.225								false	0.010	true	3	25	Amp		0.502	Y	N	N	N	N				
79	G7	false	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
79	G7	false	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
85	H1	false	SC026	C	UNKNOWN	VIC	NFQ-MGB	25.029	24.809	0.312								false	0.010	true	3	24	Amp		0.909	N	N	N	N	N				
85	H1	false	SC026	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
86	H2	false	SC027	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
86	H2	false	SC027	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
87	H3	false	MR017	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
87	H3	false	MR017	D	UNKNOWN	FAM	NFQ-MGB	22.603	22.701	0.138								false	0.010	true	3	21	Amp		0.366	Y	N	N	N	N				
88	H4	false	MR018	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
88	H4	false	MR018	D	UNKNOWN	FAM	NFQ-MGB	21.566	21.675	0.155								false	0.010	true	3	21	Amp		0.297	Y	N	N	N	N				
89	H5	false	MR019	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N				
89	H5	false	MR019	D	UNKNOWN	FAM	NFQ-MGB	22.364	22.942	0.818								false	0.010	true	3	21	Amp		0.301	Y	N	Y	N	N				
90	H6	false	PTC	C	UNKNOWN	VIC	NFQ-MGB	29.212	29.222	0.015								false	0.010	true	3	28	Amp		0.910	N	N	N	N	N				
90	H6	false	PTC	D	UNKNOWN	FAM	NFQ-MGB	26.336	26.495	0.225								false	0.010	true	3	25	Amp		0.391	Y	N	N	N	N				
91	H7	false	NTC	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
91	H7	false	NTC	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
