* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-06-06 11:43:14 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\AKOUGH.CONSERV-013\Desktop\Sandy_Mermaid\20190605_KP_01.eds
* Experiment Name = 20190605_KP_1
* Experiment Run End Time = 2019-06-05 17:28:50 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	HIGHSD	NOAMP	BADROX	PRFDROP	CTFAIL	Tm1	Tm2	Tm3	Tm4
60	E12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
61	F1	false	SC001	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
62	F2	false	SC002	B	UNKNOWN	FAM	NFQ-MGB	26.983	26.179	1.136								false	0.010	true	3	26	Amp		0.684	Y	N	N	Y	N	N	N	N				
63	F3	false	SC003	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
64	F4	false	SC004	B	UNKNOWN	FAM	NFQ-MGB	26.450	27.191	1.047								false	0.010	true	3	25	Amp		0.650	Y	N	N	Y	N	N	N	N				
65	F5	false	SC005	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
66	F6	false	SC006	B	UNKNOWN	FAM	NFQ-MGB	26.854	26.239	0.870								false	0.010	true	3	26	Amp		0.789	Y	N	N	Y	N	N	N	N				
67	F7	false	SC007	B	UNKNOWN	FAM	NFQ-MGB	28.711	29.346	0.898								false	0.010	true	3	28	Amp		0.834	N	N	N	Y	N	N	N	N				
68	F8	false	SC008	B	UNKNOWN	FAM	NFQ-MGB	27.236	29.271	2.878								false	0.010	true	3	26	Amp		0.817	N	N	N	Y	N	N	N	N				
69	F9	false	SC009	B	UNKNOWN	FAM	NFQ-MGB	33.530	34.738	1.709								false	0.010	true	3	32	Amp		0.773	Y	N	N	Y	N	N	N	N				
70	F10	false	SC010	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
71	F11	false	NEC1	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
72	F12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
73	G1	false	SC001	C	UNKNOWN	VIC	NFQ-MGB	24.897	24.897									false	0.010	true	3	23	Amp		0.705	Y	N	N	N	N	N	N	N				
73	G1	false	SC001	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.263									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N	N				
74	G2	false	SC002	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
74	G2	false	SC002	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N				
